---------------/api/resource---------------
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 73 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 72 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 68 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 68 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 68 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 71 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 82 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 80 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 69 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 66 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 67 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 70 ms | ResponseCode : 200
Counter=100Joins=1 Response Time = 68 ms | ResponseCode : 200
--------------JOINS: 1--------------
Counter=1000Joins=1 Response Time = 102 ms | ResponseCode : 200
Counter=1000Joins=1 Response Time = 92 ms | ResponseCode : 200
Counter=1000Joins=1 Response Time = 90 ms | ResponseCode : 200
Counter=1000Joins=1 Response Time = 98 ms | ResponseCode : 200
Counter=1000Joins=1 Response Time = 112 ms | ResponseCode : 200
Counter=1000Joins=1 Response Time = 101 ms | ResponseCode : 200
