---------------/api/resource---------------
Counter=100000Joins=0 Response Time = 613 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 451 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 436 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 439 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 430 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 442 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 428 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 426 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 435 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 440 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 441 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 434 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 432 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 465 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 417 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 455 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 422 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 416 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 423 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 433 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 409 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 425 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 415 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 417 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 420 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 410 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 451 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 402 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 424 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 438 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 437 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 417 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 420 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 418 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 439 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 415 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 406 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 418 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 442 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 427 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 401 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 416 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 440 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 436 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 409 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 399 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 436 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 429 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 415 ms | ResponseCode : 200
Counter=100000Joins=0 Response Time = 409 ms | ResponseCode : 200
--------------JOINS: 1--------------
Counter=1Joins=1 Response Time = 241 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 118 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 114 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 118 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 117 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 114 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 114 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 111 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 111 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 111 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 111 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 113 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 111 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 109 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 110 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 108 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 109 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 111 ms | ResponseCode : 200
Counter=1Joins=1 Response Time = 117 ms | ResponseCode : 200
